"day","n"
"Tuesday",4600
"Monday",2
"Saturday",66
NA,14
"Monday",2
"Saturday",355
NA,14
"Monday",2
"Saturday",355
NA,14
"Monday",2
"Saturday",629
NA,16
"Monday",2
"Saturday",1013
NA,17
"Monday",2
"Saturday",1163
NA,17
"Monday",2
"Saturday",1163
NA,17
"Monday",2
"Saturday",1420
NA,292
"Monday",2
"Saturday",1492
NA,360
"Monday",2
"Saturday",1560
NA,555
"Sunday",133
"Sunday",205
"Sunday",278
"Sunday",404
NA,196
"Sunday",543
NA,197
"Sunday",601
NA,197
"Sunday",649
NA,197
"Sunday",712
NA,197
"Sunday",751
NA,197
