"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @sante_eeee: If you watch Liquorose carefully, view her dance videos and observe her in the house. You’d know she DESERVES all the love…",FALSE,0,NA,2021-07-30 12:46:18,FALSE,NA,"1421089772177694731",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NengiTrophy",12,TRUE,FALSE,NA,NA
"RT @AlutaContinua21: WhiteMoney has cooked 2 pots. One pot is for everyone else and the other pot Liquorose says it’s only for her and Mari…",FALSE,0,NA,2021-07-30 12:46:16,FALSE,NA,"1421089762929254403",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lopezlomasi",5,TRUE,FALSE,NA,NA
"RT @Koketsoo_: Liquorose, Maria and Whitemoney. #BBNaija",FALSE,0,NA,2021-07-30 12:46:16,FALSE,NA,"1421089762849460233",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","thatgirlkesie",16,TRUE,FALSE,NA,NA
"RT @GeorgewillGrace: Cross is just a jolly good fellow. When you have that much money, you don’t need to do too much  #BBNaija",FALSE,0,NA,2021-07-30 12:46:16,FALSE,NA,"1421089761863811072",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Cross_BBNaija",6,TRUE,FALSE,NA,NA
"My liquorose is enjoying the rice too😭😭😭 #BBNaija",FALSE,0,NA,2021-07-30 12:46:15,FALSE,NA,"1421089758755885059",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BbnEye",0,FALSE,FALSE,NA,NA
"RT @Buhlebethu_k: My babe is definitely a foodie look at her plate🤣🤣🤣🤣🤣♥️🌹#BBNaija",FALSE,0,NA,2021-07-30 12:46:15,FALSE,NA,"1421089756054790154",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PepperoniSauce",1,TRUE,FALSE,NA,NA
"RT @Hannah17502232: Emmanuel is still trying to loosen up and if he gets in a ship now, brand builders in Liquorose team will say she's the…",FALSE,0,NA,2021-07-30 12:46:14,FALSE,NA,"1421089755035578375",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Apici8",1,TRUE,FALSE,NA,NA
"RT @i_am_Lass: Whitemoney made a different fried rice for Maria and liquorose, made a different fried rice for pere and cross and a big pot…",FALSE,0,NA,2021-07-30 12:46:14,FALSE,NA,"1421089754062508034",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cruiseking21",1,TRUE,FALSE,NA,NA
"Sasky only sits, sleeps and eats.. she tells us how young she is and her fans tell us how black beauty' she is n bo… https://t.co/JXXUA854hs",FALSE,0,NA,2021-07-30 12:46:14,TRUE,NA,"1421089752850251783",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TheLuxury10",0,FALSE,FALSE,NA,NA
"RT @MazeeEgho: My faves Maria, Whitemoney, Liquorose ☺️

Wild card nonsense will not separate them 🕯🕯🕯🕯🕯🕯
#BBNaija",FALSE,0,NA,2021-07-30 12:46:14,FALSE,NA,"1421089752669900800",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GiffMELLO",3,TRUE,FALSE,NA,NA
"Na stupid girl

I’m happy They’re gon fail it so her stupidity can be seen by the whole house

Her jealousy for Liq… https://t.co/3krMoz7sFd",FALSE,0,NA,2021-07-30 12:46:12,TRUE,NA,"1421089746269442051",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Ayekarib0",0,FALSE,FALSE,NA,NA
"RT @mr_salmanbash: Big Brother couldn’t have chosen better Wild cards. 

Pere was in the military. He was trained to keep top secret, and s…",FALSE,0,NA,2021-07-30 12:46:09,FALSE,NA,"1421089734391173122",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TshepiNT",87,TRUE,FALSE,NA,NA
"RT @Therightplugfav: Not the housemates hailing whitemoney for his cooking awwww, I didn’t know sink rice is this sweet o, y’all were dragg…",FALSE,0,NA,2021-07-30 12:46:09,FALSE,NA,"1421089731975208964",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DominicTosky",2,TRUE,FALSE,NA,NA
"RT @BeeTebo_Nengi: Whitemoney making different meals to accommodate everyones diet is very impressive #bbnaija https://t.co/EJqmpB8yuH",FALSE,0,NA,2021-07-30 12:46:05,FALSE,NA,"1421089717718818819",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Cee77596341",3,TRUE,FALSE,NA,NA
"Liquor Rose the Dance Queen Helping me out with those Steps. #BBNaija #Shineyaeyes #Shineyaeye #Princess… https://t.co/7EnAG28xUt",FALSE,0,NA,2021-07-30 12:46:05,TRUE,NA,"1421089713994219522",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","curvyprinces1",0,FALSE,FALSE,NA,NA
"This Emma and Rose ship you are trying to sail won't work
Rose is completely oblivious of it 
She is now in the din… https://t.co/21DPzoocH5",FALSE,0,NA,2021-07-30 12:46:04,TRUE,NA,"1421089713008611329",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Jessica71398193",0,FALSE,FALSE,NA,NA
"RT @Mxx_Tee: My Whitemoney is an all rounder!
    I'm glad they are all being appreciative.

And I'm sure he's getting multiple nominations…",FALSE,0,NA,2021-07-30 12:46:04,FALSE,NA,"1421089711637073920",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Day2eral",1,TRUE,FALSE,NA,NA
"RT @stannercandy: Peace should continue 😂😂😂I don’t want them to catch Maria sef, she likes my Rose so I like her too! #BBNaija",FALSE,0,NA,2021-07-30 12:46:04,FALSE,NA,"1421089711280599047",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","ngula_kangwa",1,TRUE,FALSE,NA,NA
